Symbol,Atomic_Number,Atomic_Weight,Period,group,families,Mendele_Number,l_quantum_number,Atomic_Radus,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,Orbital_Radius(pm),crystal_radius,Pauling_Electronegativity,MB_electonegativity,Nagle_electonegativity,Pearson_abs_electonegativity,Gordy_electonegativity,Mulliken_EN,Allred-Rockow_electronegativity,metallic_valence,number_of_valence_electrons,gilmor_number_of_valence_electron,valence_s,valence_p,valence_d,valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,outer_shell_electrons,1st_ionization_potential_(kJ/mol),polarizability(A^3),Melting_point_(K),Boiling_Point_(K),Molar_Denstiy_(mol/ml),Density_(g/mL),Molar_Heat_Capacity(J/mol_K),specific_heat_(J/g_K)_,heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,thermal_conductivity_(W/(m_K))_,heat_atomization(kJ/mol),Cohesive_energy,B(Gpa),nws(e/au3),volume(10-6m3),Work_function,G,abs_valence,Nearest_Neighbor_Distance(pm),Critical_Temperature,Low_Temp_Debye(K),High_Temp_Debye(K),Atomic_Concentration(1e-23_cm-3)
Na,11,22.99,3,1,1,2,0,1.9,180,1.54,2.65,1.8,171.3,1.16,0.93,0.89,0.95,2.85,2.54,2.85,0.87,1,1,1,1,0,0,0,1,6,10,14,1,496,23.6,370.95,1156.15,0.04,0.97,28.28,1.23,2.6,96.96,141,109,1.11,6.8,0.55,23.78,2.36,3.3,1,366,2573,156.5,155,2.65
Mg,12,24.31,3,2,2,68,0,1.45,160,1.3,2.03,1.5,127.9,0.86,1.31,1.31,1.32,3.75,2.97,3.75,1.29,2,2,2,2,0,0,0,0,6,10,14,2,738,10.6,922.15,1363.15,0.07,1.74,24.79,1.02,8.95,127.4,156,148,1.51,35.6,1.6,14,3.66,17,2,320,2535,403,330,4.3
Al,13,26.98,3,13,5,73,1,1.18,141,1.18,1.68,1.25,131.2,0.53,1.61,1.64,1.55,3.23,3.52,3.23,1.61,3,3,3,2,1,0,0,0,5,10,14,3,578,8.3,933.15,2740.15,0.1,2.7,24.28,0.9,10.79,293.4,237,326,3.39,75.2,2.7,10,4.26,26,1,286,8550,433,390,6.02
Si,14,28.09,3,14,6,78,1,1.11,110,1.11,1.42,1.1,106.8,0.4,1.9,1.98,1.87,4.77,4.19,4.77,1.92,4,4,4,2,2,0,0,0,4,10,14,4,787,5.4,1683.15,2628.15,0.08,2.33,19.94,0.71,50.55,384.22,148,452,4.63,98,3.38,8.6,4.85,79.9,2,235,5159,645,692,5
P,15,30.97,3,15,7,83,1,0.98,102,1.06,1.24,1,91.9,0.31,2.19,2.32,2.22,5.62,4.96,5.62,2.25,3,5,5,2,3,0,0,0,3,10,14,5,1012,3.6,317.25,553.15,0.06,1.82,23.85,0.77,0.66,12.13,0.24,315,3.43,30.4,4.49,8.6,,,3,,994,0,576,
S,16,32.07,3,16,7,88,1,0.88,103,1.02,1.1,1,81,0.43,2.58,2.65,2.49,6.22,5.85,6.22,2.59,2,6,6,2,4,0,0,0,2,10,14,6,1000,2.9,385.95,717.85,0.06,2.07,22.77,0.71,1.72,9.8,0.27,279,2.85,7.7,,,,,4,,1314,0,527,
Cl,17,35.45,3,17,8,94,1,0.79,,0.99,1.01,1,72.5,1.67,3.16,2.98,2.82,8.3,6.84,8.3,2.87,0,7,7,2,5,0,0,0,1,10,14,7,1251,2.2,172.15,238.55,0,0,17.02,0.48,3.23,10.2,0.01,121,1.4,1.1,,,,,5,202,416.96,,,
Ar,18,39.95,3,18,9,100,1,0.71,,0.97,0,0.71,65.9,0,0,0,3.18,,7.96,0,3.24,0,0,0,0,0,0,0,2,6,10,14,0,1521,1.59,83.95,87.45,0,0,20.77,0.52,1.19,6.45,0.02,0,0.08,,,,,,6,376,150.69,92,0,2.66
K,19,39.1,4,1,1,3,0,2.43,230,1.96,3.69,2.2,216.2,1.52,0.82,0.8,0.84,2.42,2.79,2.42,0.73,1,1,1,1,0,0,0,1,6,10,14,1,419,43.4,336.4,1033.15,0.02,0.86,29.32,0.75,2.33,79.87,102.4,90,0.93,3.2,0.27,45.63,2.29,1.3,1,453,2223,91.1,100,1.4
Ca,20,40.08,4,2,2,7,0,1.94,201,1.74,3,1.8,169,1.14,1,1.17,1.11,2.2,3.01,2.2,1.03,2,2,2,2,0,0,0,0,6,10,14,2,590,22.8,1112.15,1757.15,0.04,1.55,25.25,0.63,8.54,153.3,200,178,1.84,17.2,0.75,26.2,2.87,7.4,2,395,2880,229,230,2.3
Sc,21,44.96,4,3,3,11,2,1.84,162,1.44,2.75,1.6,157,0.89,1.36,1.5,1.17,3.34,3.07,3.34,1.19,3,3,1,2,0,1,0,0,6,9,14,2,633,17.8,1814.15,3105.15,0.07,2.99,26.97,0.6,14.1,314.2,15.8,378,3.9,56.6,2.05,15.03,3.5,29,1,325,5400,346,476,4.27
Ti,22,47.88,4,4,4,43,2,1.76,142,1.36,2.58,1.4,147.7,0.75,1.54,1.86,1.23,3.45,3.14,3.45,1.38,4,4,2,2,0,2,0,0,6,8,14,2,659,14.6,1933.15,3560.15,0.09,4.54,24.9,0.52,15.45,421,21.9,470,4.85,108,3.51,10.58,4.33,44,2,289,15500,420,380,5.66
V,23,50.94,4,5,4,46,2,1.71,134,1.25,2.43,1.35,140.1,0.68,1.63,2.22,1.27,3.6,3.2,3.6,1.53,5,5,3,2,0,3,0,0,6,7,14,2,651,12.4,2163.15,3653.15,0.12,6.11,24.96,0.49,20.9,453,30.7,514,5.31,158,4.41,8.36,4.3,47,3,262,5930,399,390,7.22
Cr,24,52,4,6,4,49,2,1.66,130,1.27,2.44,1.4,145.3,0.76,1.66,2,1.29,3.72,3.27,3.72,1.65,5.78,6,4,1,0,5,0,1,6,5,14,1,653,11.6,2130.15,2945.15,0.14,7.19,23.4,0.45,16.9,344.3,93.7,397,4.1,160,5.18,7.23,4.5,115,5,250,4700,606,424,8.33
Mn,25,54.94,4,7,4,52,2,1.61,132,1.39,2.22,1.4,127.8,0.81,1.55,2.04,1.36,3.72,3.34,3.72,1.75,5.78,7,5,2,0,5,0,0,6,5,14,2,717,9.4,1517.15,2235.15,0.14,7.43,26.37,0.48,12.05,226,7.82,281,2.92,92.6,4.17,7.35,4.1,74,5,224,4327,409,363,8.18
Fe,26,55.85,4,8,4,55,2,1.56,125,1.25,2.11,1.4,122.7,0.69,1.83,1.67,1.4,4.06,3.42,4.06,1.8,5.78,8,5,2,0,6,0,0,6,4,14,2,762,8.4,1808.15,3023.15,0.14,7.86,24.57,0.44,13.8,349.6,80.2,418,4.28,166,5.55,7.09,4.81,82,6,248,9250,477,373,8.5
Co,27,58.93,4,9,4,58,2,1.52,125,1.26,2.02,1.35,118.1,0.54,1.88,1.72,1.44,4.3,3.5,4.3,1.84,5.78,9,4,2,0,7,0,0,6,3,14,2,760,7.5,1768.15,3143.15,0.15,8.9,24.75,0.42,16.19,376.5,100,425,4.39,182,5.36,6.7,5,75,7,250,5400,460,386,8.97
Ni,28,58.69,4,10,4,61,2,1.49,126,1.21,2.18,1.35,113.9,0.7,1.91,1.76,1.47,4.4,3.58,4.4,1.88,5.78,10,3,2,0,8,0,0,6,2,14,2,737,6.8,1726.15,3003.15,0.15,8.9,25.83,0.44,17.47,370.4,90.7,430,4.44,177,5.36,6.6,5.35,76,8,249,6000,477,345,9.14
