Symbol,Atomic_Number,Atomic_Weight,Period,group,families,Mendele_Number,l_quantum_number,Atomic_Radus,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,Orbital_Radius(pm),crystal_radius,Pauling_Electronegativity,MB_electonegativity,Nagle_electonegativity,Pearson_abs_electonegativity,Gordy_electonegativity,Mulliken_EN,Allred-Rockow_electronegativity,metallic_valence,number_of_valence_electrons,gilmor_number_of_valence_electron,valence_s,valence_p,valence_d,valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,outer_shell_electrons,1st_ionization_potential_(kJ/mol),polarizability(A^3),Melting_point_(K),Boiling_Point_(K),Molar_Denstiy_(mol/ml),Density_(g/mL),Molar_Heat_Capacity(J/mol_K),specific_heat_(J/g_K)_,heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,thermal_conductivity_(W/(m_K))_,heat_atomization(kJ/mol),Cohesive_energy,B(Gpa),nws(e/au3),volume(10-6m3),Work_function,G,abs_valence,Nearest_Neighbor_Distance(pm),Critical_Temperature,Low_Temp_Debye(K),High_Temp_Debye(K),Atomic_Concentration(1e-23_cm-3)
Eu,63,151.965,6,3,3,25,3,2.31,196,1.85,3.94,1.85,182.6,1.31,1.2,1.15,1.06,,5.0001,3.1,1.09,2,3,3,2,0,0,7,0,6,10,7,2,547,27.7,1095.15,1802.15,3.45E-02,5.24,27.3537,0.18,9.21,143.5,13.9,178,1.86,14.7,1.77,19.97,2.5,7.9,7,396,4600,118,0,2.04
Gd,64,157.25,6,3,3,27,3,2.33,176,1.61,3.91,1.8,171.3,1.08,1.2,1.1,1.1,,5.1142,3.1,1.09,3,3,3,2,0,1,7,0,6,9,7,2,593,23.5,1586.15,3546.15,5.02E-02,7.9,36.1675,0.23,10.05,359.4,10.6,398,4.14,37.9,1.77,19.9,2.9,22,1,358,8670,182,155,3.02
Tb,65,158.92534,6,3,3,29,3,2.25,176,1.59,3.89,1.75,177.5,1.18,1.2,1.2,1.08,1.08,5.238,3.1,1.09,3,3,3,2,0,0,9,0,6,10,5,2,569,25.5,1638.15,3503.15,5.18E-02,8.23,28.6065612,0.18,10.8,330.9,11.1,389,4.05,38.7,1.82,19.32,3,22,9,352,8470,176,158,3.22
Dy,66,162.5,6,3,3,31,3,2.28,175,1.59,3.67,1.75,175,1.05,1.22,1.15,1.09,,5.3714,3.1,1.09,3,3,3,2,0,0,10,0,6,10,4,2,573,24.5,1685.15,2840.15,5.26E-02,8.55,27.625,0.17,11.06,230.1,10.7,291,3.04,40.5,1.82,19,,25,0,251,7640,183,158,3.17
Ho,67,164.93032,6,3,3,33,3,2.26,177,1.58,3.65,1.75,172.7,1.04,1.23,1.2,1.1,,5.5143,3.1,1.09,3,3,3,2,0,0,11,0,6,10,3,2,581,23.6,1747.15,2973.15,5.34E-02,8.8,26.3888512,0.16,12.2,241,16.2,301,3.14,40.2,1.82,18.76,,26,1,349,7570,190,161,3.22
Er,68,167.26,6,3,3,35,3,2.26,175,1.57,3.63,1.75,170.3,1.03,1.24,1.2,1.11,,5.6669,3.1,1.09,3,3,3,2,0,0,12,0,6,10,2,2,589,22.7,1802.15,3141.15,5.42E-02,9.07,28.4342,0.17,19.9,261,14.3,317,3.29,44.4,1.86,18.45,,28,2,347,7250,188,163,3.26
Tm,69,168.93421,6,3,3,37,3,2.22,175,1.56,3.6,1.75,168.1,1.02,1.25,1.2,1.12,1.12,5.8291,3.1,1.09,3,3,3,2,0,0,13,0,6,10,1,2,597,21.8,1818.15,2223.15,5.52E-02,9.32,27.0294736,0.16,16.84,191,16.8,232,2.42,44.5,1.86,18.12,3.4,31,3,354,6430,200,167,3.32
Yb,70,173.04,6,3,3,39,3,2.22,190,1.56,3.59,1.75,165.8,1.13,1.1,1.1,1.13,1.13,6.0009,3.1,1.09,2,3,3,2,0,0,14,0,6,10,0,2,603,21,1092.15,1469.15,4.03E-02,6.97,25.956,0.15,7.66,128.9,34.9,152,1.6,30.5,1.86,17.97,,9.9,4,288,4420,118,0,3.02
Lu,71,174.967,6,3,3,41,2,2.17,175,1.6,3.37,1.75,155.3,1,1.27,1.2,1.12,,6.1824,3.1,1.09,3,3,3,2,0,1,14,0,6,9,0,2,524,21.9,1936.15,3675.15,5.62E-02,9.84,26.24505,0.15,18.6,355.9,16.4,427,4.43,47.6,1.91,17.77,,27,1,343,3540,183,116,3.39
Hf,72,178.49,6,4,4,45,2,2.08,158,1.5,2.91,1.55,147.6,0.85,1.3,1.73,1.2,3.8,6.3704,3.8,1.16,4,4,2,2,0,2,14,0,6,8,0,2,659,16.2,2500.15,4873.15,7.45E-02,13.3,24.9886,0.14,24.06,575,23,619,6.44,109,3.05,13.45,3.9,30,2,313,10400,252,213,4.52
Ta,73,180.9479,6,5,4,48,2,2,145,1.38,2.79,1.45,141.3,0.78,1.5,1.94,1.26,4.11,6.5738,4.11,1.34,5,5,3,2,0,3,14,0,6,7,0,2,761,13.1,3269.15,5698.15,9.17E-02,16.6,25.332706,0.14,31.6,743,57.5,782,8.1,196,4.33,10.81,4.8,69,3,286,10250,246,225,5.55
W,74,183.84,6,6,4,51,2,1.93,135,1.46,2.735,1.35,136,0.74,2.36,1.79,1.31,4.4,6.7841,4.4,1.47,5.78,6,4,2,0,4,14,0,6,6,0,2,770,11.1,3683.15,5933.15,1.05E-01,19.3,23.8992,0.13,35.4,824,174,849,8.9,311,5.93,9.55,5.22,161,4,274,22500,383,312,6.3
Re,75,186.207,6,7,4,54,2,1.88,137,1.59,2.68,1.35,131,0.77,1.9,2.06,1.35,4.02,7.004,4.02,1.6,5.78,7,5,2,0,5,14,0,6,5,0,2,760,9.7,3453.15,5873.15,1.13E-01,21,24.20691,0.13,33.2,715,47.9,770,8.03,334,6.33,8.85,4.72,178,5,273,20500,416,275,6.8
Os,76,190.23,6,8,4,57,2,1.85,135,1.28,2.65,1.3,126.6,0.77,2.2,1.85,1.39,4.9,7.2335,4.9,1.65,5.78,8,5,2,0,6,14,0,6,4,0,2,839,8.5,3318.15,5303.15,1.19E-01,22.6,24.7299,0.13,31.8,746,87.6,791,8.17,373,6.33,8.45,5.93,222,6,268,12700,467,400,7.14
Ir,77,192.22,6,9,4,60,2,1.8,136,1.37,2.628,1.35,122.7,0.77,2.2,1.87,1.43,5.4,7.4345,5.4,1.68,5.78,9,4,2,0,7,14,0,6,3,0,2,878,7.6,2683.15,4403.15,1.17E-01,22.4,24.9886,0.13,26.1,604,147,665,6.94,371,6.13,8.52,5.76,210,7,271,7800,420,228,7.06
Pt,78,195.08,6,10,4,63,2,1.77,139,1.28,2.7,1.35,122.1,0.74,2.28,1.91,1.49,5.6,7.7208,5.6,1.72,5.78,10,3,1,0,9,14,1,6,1,0,1,868,6.5,2045.15,4100.15,1.10E-01,21.4,25.3604,0.13,19.6,510,71.6,565,5.84,276,5.64,9.1,5.93,61,9,277,8450,237,225,6.62
Au,79,196.96654,6,11,4,66,2,1.74,143,1.44,2.66,1.35,118.7,1.51,2.54,1.19,1.53,5.77,7.9791,5.77,1.92,5.44,11,2,1,0,10,14,1,6,0,0,1,890,6.1,1337.15,3353.15,9.80E-02,19.3,25.21171712,0.128,12.55,334.4,317,366,3.81,171,3.87,10.2,5.47,27,0,288,6200,162.3,178,5.9
Hg,80,200.59,6,12,4,71,2,1.71,152,1.49,2.41,1.5,112.6,0.83,2,1.49,1.54,4.91,8.2469,4.91,1.76,4.44,12,1,2,0,10,14,0,6,0,0,2,1007,5.4,234.25,630.15,6.73E-02,13.5,27.88201,0.139,2.295,59.229,8.34,61,0.67,38.2,1.91,14.08,4.475,,0,301,1735,72,92,4.26
Tl,81,204.3833,6,13,5,76,1,1.56,172,1.48,2.235,1.9,131.9,1.03,1.62,1.69,1.59,3.2,4.6618,3.2,1.789,3.44,3,3,2,1,10,14,0,5,0,0,3,589,7.6,576.15,1730.15,5.82E-02,11.9,26.569829,0.13,4.142,164.1,46.1,182,1.88,28.5,1.4,17.23,3.4,2.8,1,346,2329,78.5,96,3.5
Pb,82,207.2,6,14,5,81,1,1.54,174,1.47,2.09,1.8,121.5,1.49,1.87,1.92,1.76,3.9,4.7404,3.9,1.854,2.44,4,4,2,2,10,14,0,4,0,0,4,716,6.8,600.65,2013.15,5.50E-02,11.4,26.936,0.13,4.799,177.7,35.3,196,2.03,45.8,1.52,18.28,4.25,5.6,2,350,5400,105,87,3.3
Bi,83,208.98037,6,15,5,86,1,1.43,162,1.46,1.997,1.6,129.5,1.17,2.02,2.14,1.83,4.69,4.8288,4.69,2.01,3,5,5,2,3,10,14,0,3,0,0,5,703,7.4,544.15,1833.15,4.67E-02,9.75,25.0776444,0.12,11.3,104.8,7.87,207,2.18,31.5,1.56,19.32,4.34,12,3,307,4620,120,116,2.82
Th,90,232.0381,7,3,3,16,2,1.8,178,1.65,4.98,1.8,178.8,1.19,1.3,1.3,1.03,1.03,2.8784,3.2,1.11,4,2,2,2,0,2,0,0,6,8,14,2,587,32.1,2023.15,5063.15,5.04E-02,11.7,27.844572,0.12,16.1,514.4,54,576,6.2,54,2.1,19.8,3.4,31,2,360,14550,160,100,3.04
U,92,238.0289,7,3,3,20,3,1.75,158,1.42,4.72,1.75,177.5,0.87,1.38,1.7,1.06,1.06,3.3168,3.4,1.22,5.78,3,3,2,0,1,3,0,6,9,11,2,598,27.4,1405.15,4091.15,7.98E-02,19,28.563468,0.12,14,477,27.6,490,5.55,97.9,3.44,13.15,3.9,111,1,275,12500,248,300,4.8
